JawOpen	LipPucker	JawSlideRight	LipStretcherRight	LipStretcherLeft	LipCornerPullerLeft	LipCornerPullerRight	LipCornerDepressorLeft	LipCornerDepressorRight	LeftcheekPuff	RightcheekPuff	LefteyeClosed	RighteyeClosed	RighteyebrowLowerer	LefteyebrowLowerer	LowerlipDepressorLeft	LowerlipDepressorRight	
0.004338291	0.2616026	0.111527	0.01739876	0.01372881	0.01421359	0.1449135	0.1519371	0.4747965	0.03255445	0.01038258	0.6185344	0.8228076	-0.3036434	-0.4218682	0.1814491	0.1655987	
0.02176069	0.3169667	0.09098592	0.009773588	0.01237583	0.01258969	0.06285781	0.2785285	0.4483474	0.02368888	0.007453793	0.6298321	0.8455546	-0.3447173	-0.4360645	0.186469	0.1625018	
0.01775471	0.3007246	0.1049969	0.01181327	0.0145563	0.01027493	0.06836349	0.2424728	0.4847905	0.0252497	0.004635779	0.6409312	0.8007703	-0.3803638	-0.400539	0.3219234	0.2865176	
0.008597336	0.3641881	0.05518801	0.030548	0.01379965	0.01446619	0.03432842	0.3343187	0.4315754	0.02942752	0.01039958	0.6292695	0.8173043	-0.4218838	-0.4990401	0.3467506	0.3060592	
0.01133748	0.3643503	0.03193289	0	0.01837825	0.0204578	0.03404567	0.2813289	0.468071	0.02039272	0.01296602	0.6216198	0.798682	-0.3571563	-0.3851676	0.2781217	0.2531665	
0.002001372	0.3237658	0.03418856	0.02032515	0.009779522	0.01251338	0.05640626	0.1799572	0.3553925	0.02100244	0.008123098	0.6129282	0.7979616	-0.3972737	-0.4819654	0.2920416	0.2553707	
0	0.3435577	0.03925205	0.01464426	0.01965127	0.01587311	0.02691793	0.2773323	0.3795052	0.01408659	0.01470374	0.6145079	0.8308992	-0.5614423	-0.6021013	0.3237409	0.2904646	
0	0.3081371	0.02638849	0.01023081	0.01387339	0.01398904	0.01269335	0.206115	0.2479671	0.02343012	0.02053206	0.5769174	0.7210091	-0.4608793	-0.4567856	0.184533	0.1442668	
0	0.313078	0.03819908	0	0.01369325	0.01472907	0.02019739	0.1772929	0.2824095	0.0007019695	0.02173727	0.5403996	0.7669384	-0.4249806	-0.4173516	0.2040572	0.1818288	
0	0.2068735	0.1037991	0.008764606	0.01879816	0.0191313	0.0168502	0.1681516	0.3634888	0.01049223	0.01805248	0.5221641	0.754198	-0.3971855	-0.4382675	0.09559461	0.08633831	
0	0.1974233	0.03538072	0.008894155	0.01463952	0.03280899	0.009053968	0.1539267	0.2161778	0.01309522	0.02201293	0.6031169	0.8502733	-0.2612588	-0.2682304	0.03209046	0.03303909	
0	0.2822111	0.02409712	0.01469344	0.0002058847	0.01701371	0.006675656	0.2120407	0.301575	0	0.0170748	0.6494684	0.8686332	-0.3241913	-0.3044222	0	0	
0	0.1786087	0.03396152	0.02740118	0	9.059906E-05	0.01752507	0.174356	0.2887293	0.01349821	0.01141503	0.5942814	0.8555056	-0.3382826	-0.420034	0.04567949	0.05337391	
0	0.1858654	0.07379779	0.01346811	0	0.009045239	0.03034667	0.1119836	0.2342898	0.008386814	0.01486267	0.6112278	0.9373242	-0.2246267	-0.3590768	0.0388957	0.04400728	
0	0.1862044	0.0455902	0.02875344	0.0154823	0.004940374	0.02527882	0.1255601	0.2907997	0.0185591	0.01554871	0.6488895	0.9223192	-0.3154381	-0.4327657	0.03267857	0.02611195	
0	0.1937945	0.03529517	0.02068158	0.006435947	0	0.003627636	0.1954426	0.315858	0.01260356	0.01743537	0.662841	0.906426	-0.3439615	-0.3747712	0.003991317	0.01119562	
0	0.2574873	0.01957894	0.01835227	0.01032745	0.01311491	0.02300611	0.2198374	0.3616779	0.01793245	0.001529356	0.5926233	0.8961412	-0.3249884	-0.3627793	0.06451511	0.0630506	
0	0.1439234	0.1512085	0.01728391	0.01899986	0.01009165	0.3837649	0.06374164	0.8828954	0.02235948	0.01166425	0.5839696	0.9090804	-0.08146395	-0.3460645	0.02852473	0.03756836	
0.005197184	0.1795338	0.09628818	0.003649856	0.004494812	0.013168	0.09080535	0.1741723	0.3847821	0.004284887	0.01506122	0.5728161	0.8112579	-0.3071928	-0.4016864	0.07382955	0.05870727	
0	0	0.09433132	0.01334483	0	0.04209803	0.2435791	0.02342327	0.3063079	0.01814275	0.008310444	0.6543067	0.9020321	-0.1203648	-0.2639523	0.02796146	0.0371042	
0	0.01026554	0.08256662	0.02059409	0	0.1526418	0.3070843	0.02319671	0.2946405	0.01443458	0.01839531	0.5564855	0.8701594	-0.004692445	-0.1968319	0.08452179	0.112112	
0	0	0.05189364	0	0.02143693	0.34751	0.6541299	0.03654081	0.3498176	0.03240454	0.0148616	0.7535099	0.9190964	-0.292815	-0.410881	0.3559398	0.366264	
0	0.06090285	0.1289586	0.003377178	0.002200508	0.2359654	0.4643121	0.0382506	0.4096179	0.01330841	0.01160565	0.7553824	0.9798377	0.1737314	0.1504696	0.4048008	0.420645	
0	0.01433381	0.07922436	0	0.007554846	0.341848	0.486023	0.05781419	0.4063652	0.01486527	0.01245234	0.7570637	0.9738094	0.003729425	-0.1179731	0.2682786	0.2683305	
0	0	0.09475643	0.02361966	0.01196785	0.3976162	0.6702915	0.04394404	0.348958	0.02938072	0.01137507	0.699766	0.8907258	-0.2023738	-0.3608297	0.3523186	0.3676797	
0	0	-0.01882144	0.02018735	0.1238513	0.4480819	0.6980225	0.1289954	0.416492	0.1210104	0.01133744	0.7011147	0.5690344	-0.5277508	-0.4110677	0.3715739	0.3396484	
